,category_name,parent_cat_name,Entity,complaint words,output sequence,complaint_description,predicted_label
10,Potholes,Maintenance of Roads and Footpaths,Pothole,"potholes in road,roads slanted","25,26,27,28,29,30,52,53",We have been living in #6 9th A cross Vinayaka layout Sultan Palya since 1992 till date our children face problem as the concreate road made is slanted not straight even the quality of road made is really bad to add to the woe street dogs shit around in all the pots hole in the road please help us out of this stinky situation my mobile no is 9845994173 Manoranyapalya,Stray Dogs
11,Water Supply and Services - Others,Water Supply and Services,water,"no water supply,provide water","16,17,18 ","1 st Cross,Satosh Nagar,side by Airforce Compound wall is a fully developed area. There is no water supply to 5 houses in 1 st Cross since last 3+yrs We have met the Corporator several time. He assured immediate water supply but never took any action to supply the water nor took action against Mr.Raju who regulate the water according to his will. Raju\'s Number is 9008425648 We are paying taxes and fully depend on Water Tankers since three + years Please provide water immediately.",Water Supply 
12,Garbage,Garbage and Unsanitary Practices,garbage,"garbage piled,clear garbage","1,2,3,4 ",Garbage has piled up in the Dust Bin in front of Manipal Vista & Kamala Mansion.The same has not been removed for the last 3 days.Ragpickers & Street Dogs spill the garbage all over the place.Pl arrange to clear the garbage on a regular basis.,Garbage
13,Repair of streetlights,Maintenance of Roads and Footpaths,street light,repair existing street lights,"9,10,11,12,13,14,15,81,82,83,84","We are staying in Anjanadri Enclave. BBMP authorities have not put a single street light for the last 6 years. Our layout people contributed and put street lights on our own. Some of them have gone bad. We have been requesting corporator and KEB for new street lights in our areaa. It is becoming difficult to come outside in night time. Also street light repair people are not coming regularly. We have to follow up 10 to 15 times to repair existing street lights - Sivarama Krishnaiah, 9538881333",Repair of streetlights
14,Clearing of Blockage of Under Ground Drainage Pipelines and Replacement of Damaged or Missing Manhole Cover,Sewage and Storm Water Drains,tank,connect tank to drainage line,"45,46,47,48,49,50","Anjanadri Enclave is having a common Sewerage tank. Entire layout sanitary connections are connected to this tank. For the last few months, this tank was full and leaking into surrounding areas. Neighbouts in that area are complaining about this one. We request authorities to connect this tank to drainage line in Vadra Palya - Sivarama Krishnaiah, 9538881333",No Sewage Drains
15,Stray Dogs,"Stray Animals, Insects",Dog,street dog bites,"15,16,17 ","Dear Sir/Mam, I understand that even you might have come across many instances of street dog bites,there are people still suffering from such dog bites which are very harmfull and dangerous,please pick such animals as they are growing tremendously,please follow up on my request. Thank you",Stray Dogs
16,Garbage,Garbage and Unsanitary Practices,Garbage,Garbage dump,"3,4,5,6,7,8,9",There is no proper place to dump the garbage in any locality. Of course we have persons to collect the garbage from every house but they do not have a proper place to converge and dispose. I would like to know why the BBMP is not stirctly enforcing the segregation of waste generated at source. This can reduce so much of garbage on the roads and also reduce the need for so much of landfills. Please be considerate.,Garbage
17,Footpaths,Maintenance of Roads and Footpaths,drain,Overflowing Drains,"2,9,10",The drains in the LB Shastrinagar Area are mostly overflowing (Specially in 2nd Cross and 3rd Main Area) with the dirt and Garbage and cleaned very irregularly. This is a big threat to the people staying this area. The situation is even worse since the digging has started for the Sweage as a lot of mud is going and choking the drains. BBMP need to get these cleaned regularly else it can lead to some epidemic in the area.,Garbage
18,Stray Dogs,"Stray Animals, Insects","dogs,light",Issue with Street Dogs and Street Lights,"1,2,3,4,5,6,7","Issue with Street Dogs and Street Lights very much troubling us in this area, Can you please help in this regard. Regards, Malla Reddy",Stray Dogs
19,Garbage,Garbage and Unsanitary Practices,Garbage,garbage dumped,"5,6,7,8",From past two weeks garbage is being dumped near our house and the concerned people are not bothered to clear the same. Now its starting to stink and is becoming a health hazard.\nKINDLY ARRANGE TO CLEAR UP THE SAME AT THE EARLIEST!!!,Garbage
20,Garbage,Garbage and Unsanitary Practices,Garbage,garbage dump,"1,2 ",Garbage dump. Ever-existing.,Garbage
21,Garbage,Garbage and Unsanitary Practices,drainage,drainage waste not cleared,"1,2,3,4,5,6",Drainage waste has not been cleared from the road. Its the 4th day now.,Garbage
22,New Bus Shelters,Public Transport - BMTC,bus,more number of buses,"1,2,3,4,5 ",Want more number of buses from electronic city towards marathalli side,New Bus Shelters
23,Garbage,Garbage and Unsanitary Practices,garbage,garabge collection,"12,13","In spite of posting a compliant no improvement has happened on garbage collection in ward no 25 Andhra munireddy layout, Meghanapalya, Chelekere, Kalyanagar post . Earlier garbage used to be collected on alternate days now it is collected once in 3-5 days. Though we spoke to BBMP officer as per your SMS situation remains the same and for coming once in a week they expect us to segregate waste. We are forced to keep garbage at home for 5 days \n\nI",Garbage
24,Potholes,Maintenance of Roads and Footpaths,drain,drain water overflowing,"1,2,3,4,5,6,7,8",Poor drainage causing swamp and drain water overflowing on the main footpath. Have been there since months and its just a matter of time that someone gets seriously hurt,Footpaths
25,Electricity,Electricity and Power Supply,electricity,power supply,"46,46",We understood that everyday we are supposed to post a complaint against BESCOM till they are 100% at their power supply. \n\nWe lose our temper when in hot summer there is a power cut !\n\nBescom don\'t call me back just fix your issue of powercuts on hot summer and during rainy days. Its 2015 whole world is advanced when will you ?,Electricity
26,Garbage,Garbage and Unsanitary Practices,garbage,permanent garbage pile which stinks nonstop,"46,47,48,49,50,51","Respected Sri Vijaya Kumar,\nThis is to highlight the fact that even around your office in 4th T Block, the cleanliness of the streets and collection of garbage is very poor. Please take a look next to the temple behind your office and see the permanent garbage pile which stinks nonstop. Please see how garbage is merely swept up into piles all over 33-36 Cross / 22nd - 18th Main areas (all around your office) instead of being collected by the sweepers and by the garbage autos. This is prime area with judges, senior executives, industrialists etc staying here (although everyone has the right to a clean street!) Trust you will have the concerned people from BVG India do  their job properly. In order to avoid harassment by BBMP workers I have not provided my actual mobile number. Thank you.\n-Shankar",Garbage
27,Maintenance of Roads and Footpaths - Others,Maintenance of Roads and Footpaths,Roads,install a road divider,"41,42,43,44,45,46,47,48,49,50","The traffic along 24th main road from Marenahalli signal lights upto brigade millennium has increased to such an extent that it is difficult to cross the road for pedestrians. They are at risk of getting hit by vehicles. Moreover, the traffic is completely indisciplined and the lack of a divider causes more chaos. The BBMP should look into the matter and install a road divider at the earliest to facilitate easy movement of traffic and prevent pedestrians getting caught while trying to cross the road.",Traffic
28,Bad Roads,Maintenance of Roads and Footpaths,Roads,no road,"36,37",The service road condition is pathetic from Sarjapur road junction to Belandur signal (central mall side). They dig up the road for pipeline but never bothered to make it in previous condition. Actually there is no road at all and we the commuters feel the maximum pain while traveling in this road.,Bad Roads
29,Flooding of Roads and Footpaths,Maintenance of Roads and Footpaths,Roads,"No proper roads and footpath ,not able to walk on street","1,2,3,4,5","No proper roads and footpath , people, children,and old people are not able to walk on street",Footpaths
30,Manholes,Maintenance of Roads and Footpaths,manhole,road full of manholes,"14,15,16,17,18","Road from Hennagara to kithaginahalli is in worst condition from last 3 years. Road is full of manholes which become deadly during rain. Nobody has taken steps to fill these manholes permanently. twice a year these manholes are used to filled with muddy soil and small stones, which makes these holes more deadly.\nKindly do something.",Potholes
31,Garbage,Garbage and Unsanitary Practices,garbage,garbage,"5,6 "," people staying nearby are throwing garbage on the road. \nCan you please put a board saying if caught throwing garbage a huge fine will be imposed.\nPeople use the corner as if its a Garbage dump yard. \n\nIf Police can help for few days in catching few people throwing garbage late night and early mornings for a week and impose fine people will be scared and may improve.\n\nThanks for your time.\n\nRegards,\nRaji",Garbage
32,Defacement of Trees,"Trees, Parks and Playgrounds",trees,advertising board on trees,"15,16,17,18,19,20","Aishwerya School in Meanne Avenue ( Tank Road ) near Ulsoor Lake has nailed huge metal advertisement  boards on almost all trees in St. Johns Church Road, Coles Road, Promenade Road and St. Johns Road. one is not able to remove the sign boards as they have used heavy duty metal screws. These will definitely kill the trees. Recently, a young tree fell down in front of HDFC Bank, Ulsoor. The school authorities must be asked to remove all the sign boards and also be fined for causing damage to public property",Desilting - Lakes
33,Need New Streetlights,Maintenance of Roads and Footpaths,street light,install new streelight,"47,48,49,50,51,52,53","At the entrance of Jain Temple Street from Dr A.N.Krishna Rao road, the street light installed is of a old model one which has stopped working and is causing inconvenience to the public in the night.  I request the appropriate authority to take this seriously and install a new street light of LED with a proper switch to operate the same.  Hope my request will be obliged at the earliest.",Need New Streetlights
34,Bad Roads,Maintenance of Roads and Footpaths,permit,misusing permits,"64,65,66","Today, Reliance Communication Contractors have started digging St. Johns Church Road, near Lake Side Hospital and HDFC Bank Ulsoor. This is the third time they are digging this road in the last 3 months. When we demanded the permit, they showed a permit which only gives permission from Kensington Road to Venkatachalam Circle. Because there is no supervision from BBMp, these companies are misusing the permits. The contractor\'s representative refused to give a copy of the permit. A traffic constable was a mute spectator to this .",Traffic
35,Garbage,Garbage and Unsanitary Practices,garbage,Uncleared Garbages,"17,18,19,23",In kavery nagar Near bharath gas office there is waste land and most of the people dispose their garbage. And it remains uncleared and it should get clear.,Garbage
36,Garbage,Garbage and Unsanitary Practices,garbage,Pipe line has become garbage house,"2,3,4,5,6,7,8,9,19","HI,\nThe entire pipe line has become like garbage house, entire stretch where pipe line is there in kumaraswamy layout (near 15 E bus stop).After the bus stop if you come inside and see the pipe line ,its full of garbage ,please free pipeline from the garbage and take necessary action that people shouldn\'t thrown garbage in the future.",Garbage
37,Traffic,Traffic and Road Safety,traffic,traffic,"12,13,14","On Richmond Road, especially nearer to Richmond Road flyover, there is one way traffic and there is vehicular traffic at all times. Crossing the road is dangerous and aged pedestrains just cannot cross the road as there is no place to cross safely.",Traffic
38,Stray Dogs,"Stray Animals, Insects",dog,dogs,"4,4",We have 3 dogs in big and 2 small dogs. one of the small dog looks to be mad dog. want to know whether that dog can be moved from that place.,Stray Dogs
39,Water Supply and Services - Others,Water Supply and Services,water,no water supply,"3,4,5","There is no water supply at cauvery nagar ,19/1, 7 th B cross ....please see about it every citizen of this street facing water problem ...",Water Supply 
40,Water Supply,Water Supply and Services,water,"no water supply,buy can water","3,4,5,6 ,16,17,18","I am not getting enough water for the past two months. I always end up buying can water almost every week. Water come once in a week and sine the water pressure is very low, i hardly get any supply.",Water Supply 
41,Potholes,Maintenance of Roads and Footpaths,roads,"whole road is there to break our back,potholes","12,14",The whole road is there to break our back!!! So many potholes n humps in bad shape.,Potholes
42,Potholes,Maintenance of Roads and Footpaths,potholes,potholes,"21,22,23,24,25",New road was laid yesterday and today mrng there is a big hole out there. This is more of a manhole than pot hole.,Manholes
43,Garbage,Garbage and Unsanitary Practices,garbage,garbage,"3,4,5","There is lot of garbage thrown by the road side of the area (near by Bakery) its been a very long time bbmp workers clearing it , as the result its causing air pollution etc . so plz do the needful urgently.",Garbage
44,Bad Roads,Maintenance of Roads and Footpaths,roads,Unpainted speed bumps (effectively invisible),"2,3,4,5,6","The speed bumps here aren\'t painted and are totally invisible (I\'m not exaggerating) even in daylight, also at night since the streetlights aren\'t turned on either! painting them will help prevent accidents which happen way too often around here, even pedestrians trip over the speed bump (yeah, they do..really)!",Need New Streetlights
45,Stray Dogs,"Stray Animals, Insects",stray dogs,stray dogs,"3,4 ",We have stray dogs which threatens people and little children. Kindly help by taking them in your custody,Stray Dogs
46,Mosquitos,"Stray Animals, Insects",mosquitoes,mosquitoes,"1,1",Mosquitos are a big issue in and around koshys hospital during night times.,Mosquitos
47,Garbage,Garbage and Unsanitary Practices,garbage,garbage segregation,"4,5",Request posters on garbage segregation for display in apartment.  Where I can get them?,Garbage
48,Broken Storm Water Drains,Sewage and Storm Water Drains,drain,storm water drain filled with garbage,"1,2,3,4,5,,6,7",Storm water drain is filled with garbage and everyone is throwing garbage into the storm water drain and it is getting choked. Please get it cleaned. Also a portion of storm water drain has been blocked water construction and half the drain is blocked with mud. But work is not happening from the past one month. Please look into the issue,Garbage
49,Garbage,Garbage and Unsanitary Practices,garbage,No garbage collection,"3,4,5 ",BBMP is not collecting garbage from Naveen Terraces apartment. So we need to pay heavy charges for the Private company to collect the Garbage.  Can you please ensure that BBMP collects garbage from the apartment,Garbage
50,New Bus Shelters,Public Transport - BMTC,bus,Private bus operators are creating havoc near bus shelters,"3,4,5,6 ",Most of the private bus companies stop for a long time near the bus stops causing the following issues:\n\n1) BMTC unable to stand and hence park at a distance front or back of the bus stop.\n\n2) New commuters in the upcoming bus not able to see the place name on the bus stop.\n\n3) Passengers waiting for buses not able to comfortably manueaveur through the traffic when a private bus is parked near the bus stop.\n\nPlaces where this issue is spotted:\n\n1) Hosur Road (from Roopena Agrahara to Electronic City)\n2) Madivala\n3) Chamarajpet\n4) Christ College,Traffic
51,Electricity,Electricity and Power Supply,electricity,powert outages,"4,5","Past 2 months , power outages are crazy... Power cut is understood. 2-3 hrs a day. but this is crazy. We\'re being given power 19 mins between cuts. This will spoil all appliances at home. Especially washing machines which come to abrupt stop during spinning. \n1-2 days such problem exists, it can be taken as maintenance issue. But for months together...this is INTOLERANCE.\n BESCOM should pull it\'s socks up and entrust work to knowledgeable people and resolve.",Electricity
52,Traffic,Traffic and Road Safety,roads,install height barrier,"1,2,3,4 ",Please install height barrier at one end of the road to restrict HTV vehicles from entering peaceful residential area,Traffic
53,Garbage,Garbage and Unsanitary Practices,garbage,buring of garbage,"1,2,3 ",Burning of garbage in open in nagvarpalya lanes and near indiranagar basket ball club,Garbage
54,Garbage,Garbage and Unsanitary Practices,garbage,garbage pick upon payment,"1,2,3,4,7",Garbage gets pick up only upon payment,Garbage
55,Potholes,Maintenance of Roads and Footpaths,land,land become dumpyard,"3,13",The open land which is located near Domulur bridge has become a dumpyard.,Government Land Encroachment
56,Stray Dogs,"Stray Animals, Insects",stray dogs,stray dogs,"12,12","In Chandra layout 1st stage, we have lot of problems from Dogs. There will be group of dogs which will attack people going in two wheeler & four wheeler, they will start barking and jumping on vehicle that is too scare people will fall/meet accidents. This problem mainly near siddhaganga school / chandragiri park, 14th  Cross & 12th Cross.\n\nKindly address this issue and help people to walk or travel on road safely.",Stray Dogs
57,Garbage,Garbage and Unsanitary Practices,garbage,garbage pilling,"1,2,3,4,5,6",Massive garbage is piling up next to LaCa Sa in n the open site belonging to BREN. Pigs are running free and causing massive health problem. drain is filled with garbage and water overflows on road,Garbage
58,Bad Roads,Maintenance of Roads and Footpaths,roads,roads worse,"2,3,12","Every cross roads in Munnekolala - Marathahalli-Ayyappa Layout area are fully worse that driving vehicles is a huge pain that affects health of drivers and vehicles as well.. That too when it rains, the roads become too slippery and no assurance whether people will reach destination safe. Roads should be revamped for healthy living..",Traffic
59,No Sewage Drains,Sewage and Storm Water Drains,roads,"blockage in street,low levelling of pipe","8,9,10,11","Most of the time we are facing blockage in our street, we feel that due to low leveling of pipe in our street and that could be the reason it is reversing to our chambers. We request your good office to look in for permanent solution.",Clearing of Blockage of Under Ground Drainage Pipelines and Replacement of Damaged or Missing Manhole Cover
60,Traffic,Traffic and Road Safety,traffic,more traffic,"6,7,8","From btm to silk board traffic is more,\nIn peak hours it takes 1hr to reach from btm to silkboard I losing my time, \nVia b tm silkboard.",Traffic
61,Traffic,Traffic and Road Safety,traffic,police violating traffic rules,"6,8","Being custodian of traffic rules, police themselves violate them and bombard if anyone asks them. they should be fined double if they don\'t follow rules but only enforce on public.",Traffic
62,Potholes,Maintenance of Roads and Footpaths,Pothole,potholes,"1,2,3 ",Too many potholes & roads dug up for some bbmp work is not cleaned and closed after completion.,Potholes
63,New Bus Shelters,Public Transport - BMTC,bus,no bus shelter,1.2.3,No Bus Shelter on both sides in Kuvempu Circle(Lottegolahalli). It is very difficult for public to stand in open during rainy seasons.,New Bus Shelters
64,New Bus Shelters,Public Transport - BMTC,bus,no enough buses,"1,2,3 ",No Enough Buses available to attibele after 8.30 PM,New Bus Shelters
65,Bad Roads,Maintenance of Roads and Footpaths,roads,road digged,"2,8","The roads of BEML lay out was digged couple of weeks back for pipeline and its lift unfinished. Now only half of the actual road is road is available for the people which is making very difficult for all. Dust, accidents etc are caused. Kindly help!",Air Pollution
66,Water Supply and Services - Others,Water Supply and Services,water,water supply,"11,12","After lodging a compliant thru Janagraha( ref No W06020231) regarding water supply toAmarjyothi lay out on Thanisandra Main Road  we the residents of this lay out approached the local corporator who arranged for sinking a bore at one of the point surveyed earlier.  Unfortunately  even after going to the depth of 1100 feet  the yield is only 1\"" water which no where near the required quantity of water to meet the lay out requirement.  \nSo the boring was stopped. Subsequently one more location in our lay out \n( 1st cross road) where the yield is expected to be more was identified thru survey and we approached our corporator for sinking a bore at the new location. However he expressed inability to take up one more boring due to lack of funds. \nHence we residents of this lay out request BWSSB & other authorities in State Govt.  to come to rescue by sinking a bore at the identified location \n( 1 st cross in our lay out). \n\nRequest concerned authorities to take up the work immediately  to solve our water problems.",Water Supply 
67,Bad Roads,Maintenance of Roads and Footpaths,roads,"mud road,cant walk,bike stuck","9,10,11 "," From Arun Residancy to Jigani Link Road its complete Mud road. Cant even walk or take vehicle out. Bikes are all stuck and we need to leave middle the road -cant even walk. One of most bad road in enter world you can find only in this place. Nobody takes call at least we are not asking for tar road, allow us at-least to walk. Politician are visiting only yearly once for vote....you cant imagine how much trouble that all facing  and nobody helps it out..Specially school children have to tie plastic cover in leg and walk.",Bad Roads
68,Garbage,Garbage and Unsanitary Practices,garbage,garbage dump,"11,12,13",There is a regular violation from House No. 829 which dumps garbage regularly to the road.  The tenant of this house is least bothered even though she runs a wellness clinic on residential property.  Not sure who will advise her not to throw waste and create nuisance.  Dried Coconut leaves are put in front of the house as she needs to park her car on the footpath .  Also the house has illegal washing platform adjacent to the compound where all the water is left outside the compound and on the road.   So far there is no action taken even after complaining to the authorities.      Will any of the authorities take care of these violations.   Please let me know whom should i approach to get this sorted out.,Garbage
69,"Trees, Parks and Playgrounds - Others","Trees, Parks and Playgrounds",park,no public park and plackground,"3,4,5,6,7 ","There are no Public park and Play ground  allotted from government in Kambipura.\n\ni Request the Government  Authorities to provide \""Public park and Play Ground\"" for Kambipura.",Parks and playgrounds
70,Potholes,Maintenance of Roads and Footpaths,Pothole,potholes,"1,1",Potholes under Domlur fly over,Potholes
71,BMTC - Others,Public Transport - BMTC,bus,"extra buses,no proper timing,","1,2,3,4,8,9,10","Very few Bmtc buses Available in Kambipura. No proper Timings is Followed every day they come late, I have raised this issue in ﻗ°Bmtc official web siteﻗ°ﻻ but no use , no changes have been madeﻗ°\n\nI Request to put some extra buses at least during  Morning and Evening Hours Because there are students  and working people who suffers daily due this problemﻗ°",BMTC - Others
72,Drainage Overflow,Sewage and Storm Water Drains,drain,proper drainage,"8,9 ","Opposite of HDFC Bank Kadugodi we have proper drain and the drain is connected to high drain .\nBut the drain is blocked so dirty water is flowing and bad smell , Dengue mosquito and many more diseases are happening because of that .\n\nKindly do the Proper drainage such that the Area will be pollution free and Germs free .",Mosquitos
73,Parks and playgrounds,"Trees, Parks and Playgrounds",park,plan a park,"16,17,18,19,20","Beside HDFC Bank Kadugodi we have a nice Govt vacant place .So Karnataka Govt can plan for a Nice Park and Children Play Area .\nIn Whitefield Kadugodi Area we dont have any such park where Senior Citizen can walk , children can play and everyone can relax .\n\nKindly check and do the needful .\n\nThanks in Advance !",Parks and playgrounds
74,Potholes,Maintenance of Roads and Footpaths,Pothole,dangerous pothole,"1,2 ","Dangerous pothole in Aneppa circle, Shanti Layout Junction, TC Palaya main road",Potholes
75,BMTC - Others,Public Transport - BMTC,bus,need more buses,"3,4,5,6 ",Complaint About Need more Bmtc buses for bus route number 362K,BMTC - Others
76,Traffic,Traffic and Road Safety,roads,install road humps /speed breakers,"4,5,6,7,8",Kind request to install road humps speed breakers on the varthur lake road accident occurred last night killing a two wheeler rider...,Desilting - Lakes
77,No Sewage Drains,Sewage and Storm Water Drains,sewage,sewage water block,"1,2,3 ","Sewage water over flow is causing unbearably nuisance to the residents  in many places of  AECS LAYOUT &quot;A&quot; BLOCK, it is also not being solved after bringing this to the notice of bbmp officers several times.",Public Nuisance
78,Parks and playgrounds,"Trees, Parks and Playgrounds",trees,tree collapse,"2,14,15",This tree on koramangala - adugodi road has been eaten by termites and can colapse any time soon causing casualties as this is a very busy road with schools nearby.i have given a written complaint to the bbmp in jayanagar. But till today no one has come to attend to it or check the condition of the tree.i have attached the copy  of the complaint,"Trees, Parks and Playgrounds - Others"
79,Stray Dogs,"Stray Animals, Insects",stray dogs,steralization program for stray  dogs,"6,7,8,9,10",I request BBMP to undertake sterilization program for stray dogs in my area before we see an increase in the number of stray dogs on the street,Stray Dogs
80,Stray Dogs,"Stray Animals, Insects",stray dogs,stray dogs,"4,5",There are many stray dogs that show aggressive behavior towards me and my loved ones whenever we pass by them in my locality. I would like BBMP to look into it before these dogs attack someone!,Stray Dogs
81,Garbage,Garbage and Unsanitary Practices,garbage,garbage dump,"12,13",We stay in Perody MVB County and there is an open Garbage Dump near the beginning of our road. Here we have people coming and throwing their junk . In addition you have kids from the slums who use for defecation purposes. The garbage attracts dogs which again results in other other issues .\n\nPlease help get it cleaned and probably closed.,Garbage
82,Stray Dogs,"Stray Animals, Insects",dog,aggressive dogs,"17,21",We stay in Perody MVB County which is behind the Anjaneya Temple. It is filled with dogs and is a mess. At any given point of time in the morning there are about 7 10 aggressive dogs.,Stray Dogs
83,Bad Roads,Maintenance of Roads and Footpaths,roads,"road broken,road repair","2,9,10","The road connecting Hopeform and channasandra is completely broken.\nRecently there was some patchwork done near hopefarm but after Maithriye layout towards channasandra the condition is still bad and gets bad when it rains. Normally also its very dusty and polluted.\n\nThere is even a college on this road, then why is the road not being repaired. \n\nThere is considerable traffic on this stretch and comprises of many trucks and heavy vehicles.",Traffic
84,Stray Dogs,"Stray Animals, Insects",stray dogs,stary dogs,"3,4,,5,6",There are too many stray dogs in my locality. I would like to bring it to the attention of BBMP.,Stray Dogs
85,Bad Roads,Maintenance of Roads and Footpaths,roads,road going down,"2,3,4,5,6,7 ","The road in middle is going down. It is a very old problem. Sometime back somebody repaired it by filling mud and sand. Now due to the recent rain, middle of the road is going down, making it difficult for pedestrians and motorists/two wheelers to drive.  Two wheelers try to avoid the middle portion, which makes pedestrian walking risky. Request urgent repair.",Repair of streetlights
86,Stray Dogs,"Stray Animals, Insects",stray dogs,stray dogs,"3,4,5,6 ",There are too many stray dogs in my locality. I would like to bring it to the attention of BBMP.,Stray Dogs
87,Stray Dogs,"Stray Animals, Insects",stray dogs,stray dogs,"8,9,10 ",There is an increase in number of stray dogs attacking / showing aggressive behavior near the locality where I stay. I would like BBMP to look into this issue.,Stray Dogs
88,Overflow of Storm Water Drains,Sewage and Storm Water Drains,sewage,sewage/storm water drain overflow,"2,3,4,5 ","The sewage / storm water drain at the turn of the road, leading to the  residential gated communities like Rohan ashima, Orchid Woods Orange Tree, repeatedly gets into overflow mode with heavy rains, the stench is unbearable and the clogged areas dont seem to be getting any long term corrective action. The heavy downpour of Wed-thur in this week, has once again proved this shortchanging by the BBMP to a community that pays it taxes year after year.",No Sewage Drains
89,Bad Roads,Maintenance of Roads and Footpaths,Pothole,"deep craters,humps,potholes","18,19,20,2122,23,24,25,26,27,28","The stretch of service road from Marathalli Bridge , till its intersection to ORR, towards Panathur is full of large + deep craters, half filled potholes, and humps, making it unsafe for motorists. Adding to the woes of just half lane being available, several vehicles are parked, making it a nightmare.",Potholes
90,Garbage,Garbage and Unsanitary Practices,garbage,no garbage bin,"3,4,5,6 ","There is no garbage bin available currently in and around my area (JP Nagar 3rd phase near Sai baba temple). There is only one cart that comes early in morning but as I work in night shift, it becomes difficult to get rid of the garbage.\nIf I leave the garbage outside stray dogs create all mess. \n\nPlease get it resolved asap.",Garbage
91,Traffic,Traffic and Road Safety,traffic,"stop line,pedestrain crossing","10,11,12,13,14,15,16,17,18,29","NGEF Road coming on to Old Madras Road: There are no markings for a stop line, or pedestrian crossing, on NGEF road. Since there is no stop line marked, the stop line is up to the imagination of impatient drivers. During the absence of a police person, the impatient drivers encroach and fill the slowest lane of Old Madras Road (OMR). This makes it hard for a \nmotorist travelling east on the slowest (leftmost) lane (OMR), who must change over the middle east-bound OMR lane. Further, if the lights just change from green to red (there appears to be a very short change-over time I noted few weeks ago), on east-bound OMR, slowest lane, the impatient drivers on NGEF road already proceed in south direction. This makes chances of an accident very high.\n\nACTION NEEDED:\n 1. Draw stop line, pedestrian crossing lines, on South-bound NGEF road.\n 2. Check traffic light switch-over timings (when in automatic mode) at NGEF/OMR intersection.\n\nBEBEFIT:\n 1. Makes it better for pedestrians, East bound traffic on OMR, and for police to manage.\n 2. Safety/accident prevention.\n\n(If someone has photos they can load of the intersection, it will be very helpful)\n\nThank you.",Traffic
92,Others,Others,bus,grant a new bus route,"9,10,11,12,13 ","W01810C37683 Hi Sir,I had previously requested to grant a new bus route to electronic city from uttarahalli via Kumaraswamy Layout 1st stage. There\'s been no action taken. Its really difficult to walk all the way from Konankunte Cross to Kumaraswamy Layout 1st stage, due to insufficient bus service from Electronic City to Kumaraswamy Layout 1st stage via 378 bus route. I just request you to kindly understand my problem and grant a new bus route or increase the frequency of 378H which is only 1 in number and which is not available in morning 5:00am to 6:00am from Kumaraswamy Layout 1st stage and in the evening 5:00pm to 6:00pm from Electronic City.\n\nKindly understand my problem and grant a route, please",BMTC - Need new Bus Route
93,BMTC - Others,Public Transport - BMTC,bus,need more buses,"3,4,5,6 ",Complaint About Need more Bmtc buses for bus route number 288H,BMTC - Others
